,perPrice,room,hall,restroom,houseSize,elevator,decorate,houseAge,SingelHouse,cAa,东,东北,东南,东西,北,南,南北,西,西北,西南
277,7476 ,7,2,5,5,1,1,1,0,3.7,0,0,0,0,0,0,1,0,0,0
278,11392 ,5,2,4,5,0,1,2,0,1.9,0,0,0,0,0,1,0,0,0,0
279,14800 ,4,2,2,3,1,0,1,0,2.9,0,0,0,0,0,0,1,0,0,0
280,15634 ,4,2,2,3,1,2,1,0,1.9,0,0,0,0,0,0,1,0,0,0
281,14880 ,3,2,2,3,1,2,0,0,2.4,0,0,1,0,0,0,0,0,0,0
282,5102 ,3,2,2,2,1,2,0,0,2.3,0,0,0,0,0,0,1,0,0,0
283,7370 ,3,2,1,2,1,1,2,1,2.5,0,0,0,0,0,1,0,0,0,0
284,11035 ,3,2,2,2,1,0,1,1,2.3,0,0,0,0,0,1,0,0,0,0
285,9263 ,3,2,2,2,1,1,1,0,2.7,0,0,0,0,0,0,1,0,0,0
286,9738 ,4,2,2,3,1,2,1,0,3.7,0,0,0,0,0,0,1,0,0,0
287,12917 ,3,2,2,2,1,1,1,0,2.6,0,0,1,0,0,0,0,0,0,0
